date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:05	166436/166436	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-28a24%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-1.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-1.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:05	266315/266315	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-4104b%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-2.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-2.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:05	173325/173325	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-2a50d%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-3.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-3.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:05	124734/124734	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-1e73e%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-4.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-4.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:06	166436/166436	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-28a24%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-5.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-5.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:06	18083/18083	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-46a3%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/bootstrap.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/bootstrap.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:06	22527/22527	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-57ff%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/angular.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/angular.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:06	22085/22085	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-5645%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/sketch.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/sketch.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:06	25566/25566	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-63de%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/react.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/react.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:07	119976/119976	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-1d4a8%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/img-1-1000x600.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/img-1-1000x600.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:07	18469/18469	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-4825%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/vue.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/vue.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:07	1438/1438	---M--	200	added ('OK')	image/png	etag:%225e3ac276-59e%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/cards/bitcoin.png	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/cards/bitcoin.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:07	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-15851%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery/dist/jquery.min.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery/dist/jquery.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:08	80698/80698	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-13b3a%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:08	3886/3886	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-f2e%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/js-cookie/js.cookie.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/js-cookie/js.cookie.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:08	13041/13041	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-32f1%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery.scrollbar/jquery.scrollbar.min.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery.scrollbar/jquery.scrollbar.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:08	4636/4636	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-121c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery-scroll-lock/dist/jquery-scrollLock.min.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery-scroll-lock/dist/jquery-scrollLock.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:09	172812/172812	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-2a30c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/chart.js/dist/Chart.min.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/chart.js/dist/Chart.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:09	3552/3552	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-de0%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/chart.js/dist/Chart.extension.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/chart.js/dist/Chart.extension.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:09	26976/26976	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-6960%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/argon.min.js?v=1.2.0	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/js/argon.min5438.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:09	1660/1660	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-67c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/demo.min.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/js/demo.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:10	93453/93453	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2010%20Apr%202021%2011:38:12%20GMT	http://connect.facebook.net/en_US/fbevents.js	D:/Ian/Projects/ninung/template/template/connect.facebook.net/en_US/fbevents.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:10	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:12%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/january.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/january.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:11	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:13%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/february.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/february.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:11	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:13%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/march.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/march.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:11	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:13%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/april.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/april.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:11	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:13%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/may.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/may.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:12	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/june.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/june.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:12	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/july.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/july.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:12	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/august.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/august.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:13	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/september.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/september.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:13	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:15%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/october.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/october.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:13	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:15%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/november.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/november.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:13	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:15%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/december.jpg	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/december.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
19:38:14	3310/3310	---M--	200	added ('OK')	image/png	etag:%225e3ac276-cee%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/flags/US.png	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/flags/US.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/alternative.html)
19:38:14	3109/3109	---M--	200	added ('OK')	image/png	etag:%225e3ac276-c25%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/flags/DE.png	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/flags/DE.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/alternative.html)
19:38:14	3543/3543	---M--	200	added ('OK')	image/png	etag:%225e3ac276-dd7%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/flags/GB.png	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/icons/flags/GB.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/alternative.html)
19:38:15	57854/57854	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-e1fe%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jvectormap-next/jquery-jvectormap.min.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jvectormap-next/jquery-jvectormap.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/alternative.html)
19:38:15	104263/104263	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-19747%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/vendor/jvectormap/jquery-jvectormap-world-mill.js	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/js/vendor/jvectormap/jquery-jvectormap-world-mill.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/alternative.html)
19:38:15	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:17%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/POST	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/POST	(from http://connect.facebook.net/en_US/fbevents.js)
